column_in_exp_file,column_in_metadata
Astro,Astro
CA1,CA1
CA1-do,CA1-do
CA1-ProS,CA1-ProS
CA1-ve,CA1-ve
CA2-IG-FC,CA2-IG-FC
CA3-do,CA3-do
CA3-ve,CA3-ve
Car3,Car3
CR,CR
CT SUB,CT SUB
DG,DG Prox1 
Endo,Endo
IT HATA,IT HATA
L2 IT APr,L2 IT APr
L2 IT ENTl,L2 IT ENTl
L2 IT ENTm,L2 IT ENTm
L2 IT RSP-ACA,L2 IT RSP-ACA
L2 IT RSPv-POST-PRE,L2 IT RSPv-POST-PRE
L2/3 IT AI,L2/3 IT AI
L2/3 IT CTX,L2/3 IT CTX
L2/3 IT ENTl,L2/3 IT ENTl
L2/3 IT PAR,L2/3 IT PAR
L2/3 IT POST-PRE,L2/3 IT POST-PRE
L2/3 IT ProS,L2/3 IT ProS Dcn
L3 IT ENTl,L3 IT ENTl
L3 IT ENTm,L3 IT ENTm
L4 IT CTX,L4 IT CTX
L4 RSP-ACA,L4 RSP-ACA
L4/5 IT CTX,L4/5 IT CTX Cux2
L5 IT CTX,L5 IT CTX
L5 IT RSP-ACA,L5 IT RSP-ACA
L5 PPP,L5 PPP
L5 PT CTX,L5 PT CTX
L5/6 IT CTX,L5/6 IT CTX
L5/6 IT PFC,L5/6 IT PFC
L5/6 IT TPE-ENT,L5/6 IT TPE-ENT
L5/6 NP CT CTX,L5/6 NP CT CTX Sla2
L5/6 NP CTX,L5/6 NP CTX
L6 CT CTX,L6 CT CTX
L6 CT ENT,L6 CT ENT Rasgrf2
L6 IT CTX,L6 IT CTX
L6 IT ENTl,L6 IT ENTl
L6b CTX,L6b CTX
L6b ENT,L6b ENT Cplx3
L6b RHP,L6b RHP Nxph4
Lamp5,Lamp5
Lamp5 Lhx6,Lamp5 Lhx6
Meis2,Meis2
Meis2 HPF,MIcro
Micro-PVM,PVM
Mossy,Mossy
NP PPP,NP PPP
NP SUB,NP SUB
Ntng1 HPF,Ntng1
Oligo,Oligo
Pax6,Pax6
ProS,ProS
Pvalb,Pvalb
Pvalb Vipr2,Pvalb Vipr2
SMC-Peri,SMC
Sncg,Sncg
Sst,Sst
Sst Chodl,Sst Chodl
Sst HPF,Sst Lmo1 HPF
SUB,SUB
Vip,Vip
Vip HPF,Vip Cbln4 HPF
Vip Igfbp6,Vip Igfbp6
VLMC,VLMC
